"Player";"Match";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Bryan Heynen";"Club Brugge KV v KRC Genk";"66.14";"10789.4";"1929.5";"639.6";"163.3";"802.8";"49.0";"10.9";"59.9";"100.7";"2.7";"81.6";"10.9";"27.10"
"Bryan Heynen";"KRC Genk v Sint-Truidense VV";"101.27";"10589.9";"1610.3";"552.8";"172.4";"725.2";"45.3";"7.1";"52.4";"77.3";"2.7";"70.2";"11.6";"28.30"
"Bryan Heynen";"KRC Genk v KV Mechelen";"95.20";"11685.8";"1967.3";"613.6";"134.2";"747.8";"52.0";"6.6";"58.6";"104.0";"4.7";"96.4";"11.3";"27.50"
"Bryan Heynen";"Royale Union Saint-Gilloise v KRC Genk";"102.55";"10337.5";"1504.2";"604.7";"126.4";"731.1";"43.9";"9.7";"53.5";"76.4";"2.6";"71.1";"7.9";"27.00"
"Bryan Heynen";"KRC Genk v RSC Anderlecht";"101.52";"10032.8";"1434.4";"508.9";"74.5";"583.3";"39.0";"4.4";"43.4";"80.7";"2.7";"86.0";"6.2";"25.90"
"Bryan Heynen";"Racing White Daring Molenbeek v KRC Genk";"79.24";"11219.3";"1681.0";"595.2";"209.0";"804.1";"46.6";"10.2";"56.8";"76.1";"4.5";"84.0";"13.6";"27.40"
"Bryan Heynen";"Royal Antwerp FC v KRC Genk";"106.83";"10296.5";"1597.3";"521.5";"110.4";"631.8";"44.7";"7.6";"52.2";"96.0";"0.8";"93.5";"9.3";"26.30"
"Bryan Heynen";"KV Kortrijk v KRC Genk";"90.85";"10990.2";"1838.6";"478.5";"154.5";"633.0";"48.5";"5.9";"54.5";"93.1";"6.9";"95.1";"11.9";"29.60"
"Bryan Heynen";"KRC Genk v Oud-Heverlee Leuven";"98.90";"10464.2";"1662.6";"492.3";"94.6";"587.0";"44.6";"5.5";"50.1";"91.9";"2.7";"89.2";"10.9";"26.80"
"Bryan Heynen";"Standard de Liège v KRC Genk";"101.09";"10461.9";"1731.6";"629.4";"122.0";"751.4";"53.4";"8.0";"61.4";"97.0";"4.5";"89.9";"11.6";"26.80"
"Bryan Heynen";"KRC Genk v KAA Gent";"92.68";"11073.3";"1977.1";"629.3";"93.2";"722.5";"58.3";"4.9";"63.1";"121.4";"2.9";"107.8";"12.6";"26.70"
"Bryan Heynen";"KAA Gent v KRC Genk";"103.98";"10410.8";"1557.1";"449.2";"130.7";"579.9";"38.9";"6.9";"45.9";"90.9";"1.7";"87.4";"10.4";"27.60"
"Bryan Heynen";"KAS Eupen v KRC Genk";"98.93";"10344.6";"1842.2";"482.2";"40.9";"523.1";"47.3";"3.6";"50.9";"111.9";"5.5";"92.8";"18.2";"25.10"
"Bryan Heynen";"KRC Genk v KV Kortrijk";"93.41";"11602.4";"2007.0";"693.7";"120.4";"814.2";"60.7";"7.7";"68.4";"95.4";"3.9";"104.1";"10.6";"26.50"
"Bryan Heynen";"RSC Anderlecht v KRC Genk";"103.45";"10089.2";"1519.0";"575.1";"134.8";"709.9";"52.2";"7.0";"59.2";"84.4";"1.7";"93.1";"10.4";"27.50"
"Bryan Heynen";"KRC Genk v Royal Antwerp FC";"96.85";"10607.6";"1580.7";"408.0";"47.4";"455.3";"40.9";"1.9";"42.7";"94.8";"2.8";"86.4";"12.1";"25.50"
"Bryan Heynen";"Sint-Truidense VV v KRC Genk";"105.45";"10053.2";"1404.8";"402.8";"69.1";"472.0";"32.4";"2.6";"35.0";"103.3";"1.7";"87.9";"9.4";"27.50"
"Bryan Heynen";"KRC Genk v Royale Union Saint-Gilloise";"95.74";"10289.7";"1588.7";"478.5";"154.2";"632.7";"43.2";"3.8";"47.0";"79.0";"2.8";"91.2";"4.7";"29.20"
"Bryan Heynen";"KV Mechelen v KRC Genk";"90.69";"10965.9";"1688.1";"413.8";"42.7";"456.5";"34.7";"3.0";"37.7";"94.3";"1.0";"102.2";"8.9";"24.70"
"Bryan Heynen";"KRC Genk v Racing White Daring Molenbeek";"100.53";"10489.7";"1625.8";"521.9";"82.4";"604.3";"45.7";"4.5";"50.1";"83.3";"3.6";"78.8";"4.5";"26.50"
"Bryan Heynen";"Sporting Charleroi v KRC Genk";"99.43";"10003.8";"1166.8";"363.9";"74.2";"438.1";"32.6";"5.4";"38.0";"88.7";"3.6";"80.6";"10.9";"27.90"
"Bryan Heynen";"KRC Genk v Club Brugge KV";"99.00";"9779.1";"1285.5";"369.1";"39.1";"408.2";"35.5";"4.5";"40.0";"97.3";"2.7";"86.4";"9.1";"26.50"
"Bryan Heynen";"KRC Genk v Standard de Liège";"99.30";"10494.6";"1665.9";"363.4";"12.7";"376.1";"37.2";"0.9";"38.1";"97.9";"2.7";"79.8";"7.3";"24.30"
"Bryan Heynen";"KVC Westerlo v KRC Genk";"102.53";"9486.3";"1257.9";"348.5";"72.9";"421.3";"28.1";"2.6";"30.7";"74.6";"1.8";"61.4";"7.9";"26.30"